date,count,timestamp,type
2009-12-04,1,1259884800000,daily
2009-12-10,1,1260403200000,daily
2009-12-11,1,1260489600000,daily
2009-12-15,2,1260835200000,daily
2009-12-17,2,1261008000000,daily
2009-12-22,1,1261440000000,daily
2009-12-23,1,1261526400000,daily
2010-01-08,1,1262908800000,daily
2010-01-12,1,1263254400000,daily
2010-01-13,1,1263340800000,daily
2010-01-15,1,1263513600000,daily
2010-01-26,1,1264464000000,daily
2010-01-27,1,1264550400000,daily
2010-01-28,1,1264636800000,daily
2010-02-03,2,1265155200000,daily
2010-02-09,1,1265673600000,daily
2010-02-11,1,1265846400000,daily
2010-02-12,1,1265932800000,daily
2010-02-15,3,1266192000000,daily
2010-02-16,1,1266278400000,daily
2010-02-17,1,1266364800000,daily
2010-02-18,1,1266451200000,daily
2010-02-19,1,1266537600000,daily
2010-02-20,1,1266624000000,daily
2010-02-23,1,1266883200000,daily
2010-02-25,1,1267056000000,daily
2010-03-01,1,1267401600000,daily
2010-03-02,4,1267488000000,daily
2010-03-03,1,1267574400000,daily
2010-03-09,1,1268092800000,daily
2010-03-10,1,1268179200000,daily
2010-03-15,2,1268611200000,daily
2010-03-16,2,1268697600000,daily
2010-03-17,1,1268784000000,daily
2010-03-23,1,1269302400000,daily
2010-03-26,1,1269561600000,daily
2010-03-31,1,1269993600000,daily
2010-04-08,1,1270684800000,daily
2010-04-14,1,1271203200000,daily
2010-04-15,1,1271289600000,daily
2010-04-20,2,1271721600000,daily
2010-04-21,7,1271808000000,daily
2010-04-29,1,1272499200000,daily
2010-05-06,2,1273104000000,daily
2010-05-11,1,1273536000000,daily
2010-05-21,1,1274400000000,daily
2010-05-25,1,1274745600000,daily
2010-05-28,1,1275004800000,daily
2010-06-01,2,1275350400000,daily
2010-06-03,2,1275523200000,daily
2010-06-04,1,1275609600000,daily
2010-06-07,1,1275868800000,daily
2010-06-08,1,1275955200000,daily
2010-06-14,1,1276473600000,daily
2010-06-24,3,1277337600000,daily
2010-06-25,1,1277424000000,daily
2010-06-29,1,1277769600000,daily
2010-06-30,1,1277856000000,daily
2010-07-06,1,1278374400000,daily
2010-07-07,1,1278460800000,daily
2010-07-09,4,1278633600000,daily
2010-07-12,3,1278892800000,daily
2010-07-16,2,1279238400000,daily
2010-07-19,1,1279497600000,daily
2010-07-20,1,1279584000000,daily
2010-07-28,1,1280275200000,daily
2010-07-30,1,1280448000000,daily
2010-08-03,1,1280793600000,daily
2010-08-04,1,1280880000000,daily
2010-08-06,1,1281052800000,daily
2010-08-12,1,1281571200000,daily
2010-08-17,1,1282003200000,daily
2010-08-20,1,1282262400000,daily
2010-08-26,1,1282780800000,daily
2010-08-27,2,1282867200000,daily
2010-08-30,1,1283126400000,daily
2010-09-02,2,1283385600000,daily
2010-09-06,1,1283731200000,daily
2010-09-07,1,1283817600000,daily
2010-09-08,1,1283904000000,daily
2010-09-10,1,1284076800000,daily
2010-09-14,2,1284422400000,daily
2010-09-17,3,1284681600000,daily
2010-09-20,1,1284940800000,daily
2010-09-21,1,1285027200000,daily
2010-09-22,1,1285113600000,daily
2010-09-23,1,1285200000000,daily
2010-09-24,1,1285286400000,daily
2010-09-27,1,1285545600000,daily
2010-09-28,2,1285632000000,daily
2010-10-04,1,1286150400000,daily
2010-10-08,3,1286496000000,daily
2010-10-11,2,1286755200000,daily
2010-10-12,1,1286841600000,daily
2010-10-15,3,1287100800000,daily
2010-10-19,1,1287446400000,daily
2010-10-25,1,1287964800000,daily
2010-10-26,2,1288051200000,daily
2010-10-28,1,1288224000000,daily
2010-10-29,2,1288310400000,daily
2010-11-05,1,1288915200000,daily
2010-11-09,1,1289260800000,daily
2010-11-17,1,1289952000000,daily
2010-11-18,3,1290038400000,daily
2010-11-26,1,1290729600000,daily
2010-11-30,2,1291075200000,daily
2010-12-02,1,1291248000000,daily
2010-12-03,1,1291334400000,daily
2010-12-07,1,1291680000000,daily
2010-12-14,1,1292284800000,daily
2010-12-15,1,1292371200000,daily
2010-12-20,2,1292803200000,daily
2010-12-23,1,1293062400000,daily
2011-01-06,1,1294272000000,daily
2011-01-19,2,1295395200000,daily
2011-01-20,1,1295481600000,daily
2011-01-24,1,1295827200000,daily
2011-01-25,3,1295913600000,daily
2011-01-26,1,1296000000000,daily
2011-01-27,1,1296086400000,daily
2011-01-31,1,1296432000000,daily
2011-02-02,1,1296604800000,daily
2011-02-03,1,1296691200000,daily
2011-02-10,1,1297296000000,daily
2011-02-22,1,1298332800000,daily
2011-02-24,1,1298505600000,daily
2011-02-25,1,1298592000000,daily
2011-02-28,3,1298851200000,daily
2011-03-01,2,1298937600000,daily
2011-03-02,1,1299024000000,daily
2011-03-04,4,1299196800000,daily
2011-03-14,2,1300060800000,daily
2011-03-15,1,1300147200000,daily
2011-03-16,1,1300233600000,daily
2011-03-17,1,1300320000000,daily
2011-03-22,5,1300752000000,daily
2011-03-29,1,1301356800000,daily
2011-04-04,1,1301875200000,daily
2011-04-05,1,1301961600000,daily
2011-04-08,3,1302220800000,daily
2011-04-15,1,1302825600000,daily
2011-04-18,1,1303084800000,daily
2011-04-19,1,1303171200000,daily
2011-04-21,3,1303344000000,daily
2011-04-22,1,1303430400000,daily
2011-04-29,1,1304035200000,daily
2011-05-03,1,1304380800000,daily
2011-05-04,1,1304467200000,daily
2011-05-06,2,1304640000000,daily
2011-05-09,3,1304899200000,daily
2011-05-11,1,1305072000000,daily
2011-05-14,1,1305331200000,daily
2011-05-16,1,1305504000000,daily
2011-05-17,1,1305590400000,daily
2011-05-19,2,1305763200000,daily
2011-05-26,2,1306368000000,daily
2011-05-30,1,1306713600000,daily
2011-05-31,1,1306800000000,daily
2011-06-01,1,1306886400000,daily
2011-06-06,1,1307318400000,daily
2011-06-07,1,1307404800000,daily
2011-06-08,2,1307491200000,daily
